text,label
kavya v you want to go there ,2
poojitha subbaiah hai ennane ullira ,0
namma galli goo bandiddru ashwatthama ,1
hahaha super bro ,2
saraswathipk baby swathi ,2
ella hantha hellodakke hagodilla eddaru erabhahudu e prapancha ne ondu maye yavudakku uttara sigodilla nambikene ella ,0
satyana edu devare ,0
ನಂಬಲಾದ ವಿಸ್ಮಯ ಸಂಗತಿಗಳು ಅದೆಷ್ಟು ಇವೆ ನಂಬಲು ಆಗದೆ ಇದ್ದರು ಸತ್ಯವೇ ಆಗಿರುತ್ತವೆ ,0
kathe tumba ista aythu ,0
ಗುರು ಮಾಧ್ಯಮದವರು ಸರೆ ಹಿಡ್ದಿರೋ ದೃಶ್ಯ ಇದ್ರೆ ಹಾಕು ಗುರು ,0
howdu brother nanu tv nalli nodidde evru elidnella avru elidru ,0
ಕಿರಣ್ ಶಾಲಿ ಕೊಟ್ಟಿದೀನಿ ನೋಡು ಲಿಂಕ್ ಕ್ಲಿಕ್ ಮಾಡು ,0
vinay vinu ಅಶ್ವತ್ಥಾಮ ಹೇಗೆ ಚಿರಂಜೀವಿಯೋ ಹಾಗೆಯೇ ಭಗವಾನ್ ಪರಶುರಾಮರು ಚಿರಂಜೀವಿನೆ ಅಲ್ವಾ ಹೇಗಾದ್ರು ಹತ್ರ ಇರೋ ಅಸ್ತ್ರಗಳನ್ನು ಪ್ರಯೋಗಿಸಿ ಪಾಕಿಸ್ತಾನದ ಉಗ್ರಗಾಮಿಗಳನ್ನ ನಾಶ ಮಾಡೋಕ್ಕಾಗಲ್ವ ,1
kiran shali ಲೈ ತಗಡು ನೀನು ಹಿಂದು ಧರ್ಮದ್ವನೆನೊ ಆಥವಾ cross ನೀನು ,1
vinay vinu ಇವ್ನು ಯಾರ್ ಗುರು ನಂದೆಲ್ಲಿ ಇಡ್ಲಿ ಅಂತವ್ನೆ ,1
